0,rock
1,rock
2,rock
3,rock
4,rock
5,rock
6,rock
7,rock
8,rock
9,rock
10,rock
11,rock
12,rock
13,rock
14,rock
15,rock
16,rock
17,rock
18,rock
19,rock
20,rock
21,rock
22,rock
23,rock
24,rock
25,rock
26,rock
27,rock
28,rock
29,rock
30,rock
31,rock
32,rock
33,rock
34,paper
35,paper
36,paper
37,paper
38,paper
39,paper
40,paper
41,paper
42,paper
43,paper
44,paper
45,paper
46,paper
47,paper
48,paper
49,paper
50,paper
51,paper
52,paper
53,paper
54,paper
55,paper
56,paper
57,paper
58,paper
59,paper
60,paper
61,paper
62,paper
63,paper
64,paper
65,paper
66,paper
67,paper
68,paper
69,paper
70,paper
71,paper
72,paper
73,paper
74,paper
75,paper
76,paper
77,scissors
78,scissors
79,rock
79,rock
81,rock
82,rock
83,rock
84,rock
85,rock
86,rock
87,rock
88,rock
89,rock
90,lizard
91,lizard
92,lizard
93,lizard
94,lizard
95,lizard
96,lizard
97,lizard
98,lizard
99,lizard
100,lizard
101,lizard
102,lizard
103,lizard
104,lizard
105,scissors
106,scissors
107,scissors
108,scissors
109,scissors
110,scissors
111,scissors
112,scissors
113,scissors
114,scissors
115,scissors
116,scissors
117,scissors
118,scissors
119,scissors
120,scissors
121,spock
122,spock
123,spock
124,spock
125,spock
126,spock
127,spock
128,spock
129,spock
130,spock
131,spock
132,spock
133,spock
134,spock
135,spock
136,paper
137,paper
138,paper
139,paper
140,paper
141,paper
142,paper
143,paper
144,paper
145,paper
146,paper
147,paper
148,paper
149,paper
150,paper
151,paper
152,paper
153,paper
154,paper
155,scissors
156,scissors
157,scissors
158,scissors
159,scissors
159,rock
160,rock
161,rock
162,rock
163,rock
164,scissors
165,scissors
166,scissors
167,scissors
168,spock
169,spock
170,spock
171,spock
172,spock
173,spock
174,spock
175,paper
176,paper
177,paper
178,paper
179,paper
180,paper
181,paper
182,lizard
183,lizard
184,lizard
185,lizard
186,lizard
187,lizard
188,lizard
189,spock
190,spock
191,spock
192,spock
193,lizard
193,lizard
194,lizard
195,lizard
196,lizard
197,lizard
198,lizard
199,lizard
200,scissors
201,scissors
202,scissors
203,scissors
204,scissors
205,scissors
206,scissors
207,scissors
208,scissors
209,scissors
210,scissors
211,scissors
212,scissors
213,scissors
214,scissors
215,scissors
216,spock
217,spock
218,spock
219,spock
220,spock
221,spock
222,spock
223,spock
224,spock
225,spock
226,spock
227,spock
228,spock
229,spock
230,spock
231,spock
232,spock
233,spock
234,spock
235,spock
236,lizard
237,lizard
238,lizard
239,lizard
240,lizard
241,lizard
242,lizard
243,lizard
244,lizard
245,lizard
246,lizard
247,lizard
248,lizard
249,lizard
250,lizard
251,lizard
252,scissors
253,scissors
254,scissors
255,scissors
256,scissors
257,scissors
258,scissors
259,spock
260,spock
261,spock
262,spock
263,lizard
264,lizard
265,lizard
266,lizard
267,lizard
